# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# Bloco A - KISS, DRY, YAGNI e SOLID
CLEAN_CODE|VERY_EASY|A sigla KISS significa "Keep It Simple,___"?|Stupid;Slow;Secure;Static|1
EVENT_DRIVEN|HARD_PLUS|"Snapshots" em Event Sourcing são usados para:|Evitar reprocessar todo o histórico de eventos a cada reconstrução de estado;Substituir totalmente os eventos originais;Apagar o histórico de eventos antigos;Eliminar a necessidade do modelo de leitura|1
EVENT_DRIVEN|HARD_PLUS|A evolução de esquemas de eventos ao longo do tempo (ex: adicionar campos) exige uma estratégia de:|Versionamento de eventos;Exclusão imediata de eventos antigos;Substituição do banco de dados a cada mudança;Ignorar completamente eventos anteriores|1
EVENT_DRIVEN|VERY_HARD|Um "Event Store" é um tipo especializado de armazenamento otimizado para:|Persistir e recuperar sequências de eventos de forma append-only (apenas inserção);Substituir totalmente bancos relacionais em qualquer cenário;Armazenar apenas dados temporários sem persistência real;Executar consultas analíticas complexas como função principal|1
EVENT_DRIVEN|VERY_HARD|Em CQRS aplicado a microserviços, a propagação de mudanças do modelo de escrita para os modelos de leitura geralmente ocorre via:|Eventos publicados de forma assíncrona;Chamadas síncronas bloqueantes obrigatórias;Compartilhamento direto do mesmo banco de dados sempre;Arquivos copiados manualmente|1
EVENT_DRIVEN|EXPERT|Um dos riscos de aplicar CQRS e Event Sourcing sem necessidade real é:|Aumento desnecessário de complexidade arquitetural para domínios simples;Redução garantida de complexidade sempre;Eliminação total de bugs;Simplificação automática do código|1
EVENT_DRIVEN|EXPERT|Ao reconstruir o estado de um agregado em Event Sourcing sem snapshots, o sistema geralmente precisa:|Reaplicar todos os eventos associados àquele agregado, em ordem;Ler diretamente o estado final sem processar eventos;Ignorar eventos antigos automaticamente;Consultar apenas o modelo de leitura|1
EVENT_DRIVEN|MASTER|Um desafio avançado em Event Sourcing é lidar com "eventos compensatórios" quando:|É necessário corrigir efeitos de eventos já processados sem simplesmente apagá-los do histórico imutável;O sistema nunca comete erros;Não há necessidade de manter consistência;Todos os eventos podem ser livremente editados retroativamente|1
EVENT_DRIVEN|MASTER|Combinar CQRS, Event Sourcing e o padrão Saga em sistemas distribuídos complexos ajuda principalmente a:|Coordenar transações de negócio de longa duração mantendo rastreabilidade e consistência eventual;Eliminar totalmente a necessidade de comunicação entre serviços;Garantir consistência forte instantânea sem qualquer custo;Substituir completamente bancos de dados relacionais em todos os contextos|1
EVENT_DRIVEN|MEDIUM|Em CQRS, é comum que o modelo de escrita valide regras de negócio antes de:|Persistir o comando como uma mudança de estado válida (ou emitir o evento correspondente);Apenas exibir dados na tela;Substituir o modelo de leitura;Ignorar toda validação|1
EVENT_DRIVEN|EASY_PLUS|Um cenário comum de uso do Event Sourcing é em sistemas onde:|Auditoria e histórico completo de mudanças são fundamentais (ex: sistemas financeiros);Nenhum histórico é necessário;Apenas o estado mais recente importa, sem qualquer rastreabilidade;Não há qualquer necessidade de consistência|1
EVENT_DRIVEN|HARD|Um "Message/Event Bus", frequentemente usado junto a Event Sourcing, é responsável por:|Transportar eventos entre produtores e consumidores de forma desacoplada;Armazenar permanentemente todos os eventos como única fonte de verdade;Substituir totalmente o event store;Validar regras de negócio no lugar do domínio|1
EVENT_DRIVEN|MEDIUM_PLUS|Em um sistema CQRS, múltiplos modelos de leitura diferentes podem ser criados para:|Atender necessidades distintas de exibição/consulta a partir da mesma fonte de eventos;Substituir a necessidade de qualquer comando;Eliminar a necessidade de consistência eventual;Impedir qualquer tipo de escalabilidade|1
EVENT_DRIVEN|HARD_PLUS|Reprocessar todo o histórico de eventos para reconstruir um novo modelo de leitura do zero é uma técnica útil quando:|É necessário criar uma nova projeção ou corrigir uma projeção existente com bug;Nunca é necessário em sistemas com Event Sourcing;Apenas dados recentes importam, sem qualquer valor no histórico;O sistema não possui event store|1
EVENT_DRIVEN|VERY_HARD|Idempotência no processamento de eventos é importante porque:|Um mesmo evento pode ser entregue mais de uma vez em sistemas distribuídos;Eventos nunca são reentregues em nenhum cenário;Elimina a necessidade de qualquer ordenação;Substitui a necessidade de snapshots|1
EVENT_DRIVEN|EXPERT|Um "Aggregate", no contexto de Event Sourcing combinado a DDD, é responsável por:|Garantir a consistência das regras de negócio ao processar comandos e emitir eventos;Armazenar apenas dados de configuração do sistema;Substituir o event bus;Gerenciar exclusivamente a infraestrutura de rede|1
EVENT_DRIVEN|EASY|Uma vantagem de separar comandos e consultas em CQRS é facilitar:|A escalabilidade independente de leitura e escrita;A fusão obrigatória de todos os modelos em um só;A eliminação de qualquer tipo de cache;A remoção de toda validação de dados|1
EVENT_DRIVEN|HARD|Ao adotar Event Sourcing, testar o comportamento de um agregado geralmente envolve verificar que, dado um conjunto de eventos e um comando, o sistema:|Produz os eventos esperados como resultado;Sempre lança exceção;Ignora completamente o comando recebido;Nunca produz efeitos observáveis|1
EVENT_DRIVEN|MASTER|A decisão de adotar CQRS e Event Sourcing deve considerar principalmente:|A complexidade real do domínio de negócio e a necessidade de auditoria/histórico, não apenas a moda tecnológica;Exclusivamente a popularidade da técnica em blogs;O tamanho da equipe apenas;A linguagem de programação usada, independente do domínio|1
